CIK,YEARA,P_AAER,UNDERSTATEMENT
1030471,2002,2821,0
1030471,2003,2821,0
1030471,2004,2821,0
1030471,2005,2821,0
1031107,1999,1808,0
1031107,2000,1808,0
1031905,2006,3060,0
1031905,2007,3060,0
1031905,2008,3060,0
1031905,2009,3060,0
1032975,2008,3765,0
1032975,2009,3765,0
1032975,2010,3765,0
1032975,2011,3765,0
1032975,2012,3765,0
1035700,1999,2223,0
1035976,2009,3622,0
1037949,1999,2613,0
1037949,2000,2613,0
1037949,2001,2613,0
1041073,2002,2741,0
1043337,1986,267,0
1045309,1991,1140,1
1045309,1992,1140,1
1045309,1993,1140,1
1045309,1994,1140,0
1045309,1995,1140,0
1045942,2007,3714,0
1045942,2008,3714,0
1045942,2009,3714,0
1046501,2000,2439,0
1046501,2001,2439,0
1046501,2002,2439,0
1046501,2003,2439,0
1047122,1997,2449,0
1047122,1998,2449,0
1047122,1999,2449,0
1047122,2000,2449,0
1047122,2001,2449,0
1048237,2002,1984,0
1048268,2003,2672,0
1050446,1998,2255,0
1050446,1999,2255,0
1050891,1999,2185,0
1050891,2000,2185,0
1051118,1999,1669,0
1051848,2002,2974,0
1051848,2003,2974,0
1051848,2004,2974,0
1053112,2000,2920,1
1053112,2001,2920,0
1053112,2002,2920,0
1054374,1998,2827,0
1054374,1999,2827,0
1054374,2000,2827,0
1054374,2001,2827,0
1054374,2002,2827,0
1054374,2003,2827,0
1054374,2004,2827,0
1054374,2005,2827,0
1057083,2012,3647,0
1057334,2000,2401,0
1057706,2000,2664,0
1057706,2001,2664,0
1057706,2002,2664,0
1057706,2003,2664,0
1057706,2004,2664,0
1057706,2005,2664,0
1058986,1999,1476,0
1060024,1998,1361,0
1060239,2001,1662,0
1060801,2000,1503,0
1060822,2004,3219,0
1060822,2005,3219,0
1060822,2006,3219,0
1060822,2007,3219,0
1060822,2008,3219,0
1061580,2008,3327,0
1062431,2009,3740,0
1063537,2007,3234,0
1064539,2002,1979,0
1065152,2000,1465,0
1065298,2009,3762,0
1065332,2002,3229,0
1065332,2003,3229,0
1065332,2004,3229,0
1065332,2005,3229,0
1065332,2006,3229,0
1065332,2007,3229,0
1066107,1999,2844,0
1066107,2000,2844,0
1066107,2001,2844,0
1066107,2002,2844,0
1067701,2000,2757,0
1067701,2001,2757,0
1067701,2002,2757,1
1067701,2003,2757,0
1068292,2000,2117,0
1070235,1998,2937,0
1070235,1999,2937,0
1070235,2000,2937,0
1070235,2001,2937,0
1070235,2002,2937,0
1070235,2003,2937,0
1070235,2004,2937,0
1070235,2005,2937,0
1070235,2006,2937,0
1070380,2007,3583,0
1070380,2008,3583,0
1070380,2009,3583,0
1070380,2010,3583,0
1073773,1999,2218,0
1076328,1980,153,0
1076328,1981,153,0
1076328,1982,153,0
1076328,1983,153,0
1076522,2007,3171,0
1076930,2004,3283,0
1076930,2005,3283,0
1076930,2006,3283,0
1076930,2007,3283,0
1077913,1999,1484,0
1080056,2008,3432,0
1081015,2000,1871,0
1081661,2000,2227,0
1082084,2007,3276,0
1083036,2006,3597,1
1083036,2007,3597,1
1083036,2008,3597,1
1083036,2009,3597,1
1084408,2000,2562,0
1084408,2001,2562,0
1084408,2002,2562,0
1084408,2003,2562,0
1085776,2001,2114,0
1085776,2002,2114,0
1087831,2000,1868,0
1088033,1999,2949,0
1088033,2000,2949,0
1088033,2001,2949,0
1088033,2002,2949,0
1088033,2003,2949,0
1088033,2004,2949,0
1088033,2005,2949,0
1089567,1998,1555,0
1089567,1999,1555,0
1089567,2000,1555,0
1089567,2001,1555,0
1089909,2000,1573,0
1090870,2003,2869,0
1091667,2000,2064,0
1092367,2000,2843,0
1092367,2001,2843,0
1092367,2002,2843,0
1092367,2003,2843,0
1092367,2004,2843,0
1092367,2005,2843,0
1093285,2001,1848,0
1094561,2003,2641,0
1095388,1998,2036,0
1095388,1999,2036,0
1095388,2000,2036,0
1095600,1999,2897,0
1095600,2000,2897,0
1095600,2001,2897,0
1095600,2002,2897,0
1095600,2003,2897,0
1095600,2004,2897,0
1095600,2005,2897,0
1095827,2000,1735,0
1099219,2000,2413,0
1099219,2001,2413,0
1099219,2002,2413,0
1099219,2003,2413,0
1100270,2002,2941,0
1100270,2003,2941,0
1102301,1999,1513,0
1102329,2002,2310,0
1102901,2004,2789,0
1105705,1995,1258,0
1105705,1996,1258,0
1105705,2000,2216,0
1105705,2001,2216,0
1105705,2002,2216,0
1106056,2005,3257,0
1106056,2006,3257,0
1106056,2007,3257,0
1106056,2008,3257,0
1107112,2000,3260,0
1107112,2001,3260,0
1107112,2002,3260,0
1107112,2003,3260,0
1107112,2004,3260,0
1107112,2005,3260,0
1108058,2001,2285,0
1108955,2007,3341,0
1109279,2005,3070,0
1110646,2000,2383,0
1111345,2002,2622,0
1111345,2003,2622,0
1112987,2001,2339,0
1114925,2001,2485,0
1118326,2002,3027,0
1118326,2003,3027,0
1119601,2004,3221,0
1119601,2005,3221,0
1121484,2003,2424,0
1122304,1982,10,0
1123028,2001,2802,0
1123337,1999,1773,0
1123337,2000,1773,0
1123337,2001,1773,0
1123541,2010,3697,0
1125557,2004,3264,0
1125557,2005,3264,0
1125557,2006,3264,0
1125557,2007,3264,0
1126294,1999,1780,0
1126294,2000,1780,0
1126294,2001,1780,0
1129633,2009,3789,0
1129633,2010,3789,0
1129633,2011,3789,0
1130950,2004,2489,0
1133324,2006,3356,0
1133618,2000,1722,0
1135185,2000,2588,0
1135185,2001,2588,0
1137774,2000,2860,0
1137774,2001,2860,0
1137774,2002,2860,0
1139570,2010,3458,0
1143155,2009,3600,1
1146166,2008,3658,0
1146166,2009,3658,0
1146166,2010,3658,0
1146166,2011,3658,0
1146166,2012,3658,0
1156295,2005,2857,0
1157522,2009,3783,0
1157522,2010,3783,0
1157522,2011,3783,0
1157522,2012,3783,0
1160084,2005,3197,0
1160084,2006,3197,0
1162586,1998,2909,0
1162586,1999,2909,0
1162586,2000,2909,0
1162586,2001,2909,0
1162586,2002,2909,0
1162586,2003,2909,0
1162586,2004,2909,0
1162747,2009,3372,0
1162747,2010,3372,0
1166388,1999,3117,0
1166388,2000,3117,0
1166388,2001,3117,0
1166388,2002,3117,0
1166388,2003,3117,0
1166388,2004,3117,0
1170605,2008,3410,0
1176983,2000,1760,0
1198233,2002,2743,0
1198233,2003,2743,0
1207070,2007,3378,0
1210708,2003,3226,0
1210708,2004,3226,0
1210708,2005,3226,0
1210708,2006,3226,0
1210708,2007,3226,0
1213809,2005,2984,0
1213809,2006,2984,0
1220606,2009,3783,0
1220606,2010,3783,0
1220606,2011,3783,0
1220606,2012,3783,0
1224608,1999,1973,0
1232229,2006,3315,0
1232229,2007,3315,0
1237941,1999,2420,0
1237941,2000,2420,0
1267130,2012,3770,0
1276591,2008,3326,0
1277151,2008,3535,0
1277151,2009,3535,0
1277151,2010,3535,0
1277151,2011,3535,0
1279363,2004,2971,0
1279363,2005,2971,0
1279363,2006,2971,0
1280191,1999,2246,0
1280191,2000,2246,0
1289848,2006,3394,0
1289848,2007,3394,0
1289848,2008,3394,0
1292055,2004,3358,0
1292055,2005,3358,0
1292055,2006,3358,0
1674862,1999,2518,0
1674862,2000,2518,0
1674862,2001,2518,0
1310067,1999,2148,0
1310067,2000,2148,0
1312910,2009,3783,0
1312910,2010,3783,0
1312910,2011,3783,0
1312910,2012,3783,0
1313918,2005,3237,0
1313918,2006,3237,0
1320947,2010,3527,0
1320947,2011,3527,0
1321746,1997,2758,0
1321746,1998,2758,0
1321746,1999,2758,0
1321746,2000,2758,0
1321746,2001,2758,0
1321746,2002,2758,0
1321746,2003,2758,0
1321746,2004,2758,0
1321746,2005,2758,0
1322183,1990,617,0
1326160,2001,2273,0
1329011,2008,3535,0
1329011,2009,3535,0
1329011,2010,3535,0
1329011,2011,3535,0
1331427,2008,3542,0
1331427,2009,3542,0
1331427,2010,3542,0
1341439,1989,494,0
1343504,2008,3478,0
1343504,2009,3478,0
1352045,2005,3301,0
1352045,2006,3301,0
1352045,2007,3301,0
1355128,2010,3712,0
1355128,2011,3797,0
1355128,2012,3797,0
1359272,2005,3355,0
1359272,2006,3355,0
1359272,2007,3355,0
1359272,2008,3355,0
1365790,2008,3516,0
1365790,2009,3516,0
1365790,2010,3516,0
1372807,2008,3425,0
1373671,2006,3050,0
1373671,2007,3050,0
1375877,2009,3613,1
1377848,2009,3783,0
1377848,2010,3783,0
1377848,2011,3783,0
1377848,2012,3783,0
1379895,2001,1631,0
1381105,2009,3352,0
1382696,2009,3483,0
1387361,2008,3535,0
1387361,2009,3535,0
1387361,2010,3535,0
1387361,2011,3535,0
1387767,1988,455,0
1389050,1999,1927,0
1389050,2000,1927,0
1394220,2008,3482,0
1394220,2009,3482,0
1397772,2000,2309,0
1397772,2001,2309,0
1397772,2002,2309,1
1399067,2009,3479,0
1407185,2005,3097,0
1407185,2006,3097,0
1407185,2007,3097,0
1409475,1992,965,0
1416436,1993,987,0
1418121,2008,3535,0
1418121,2009,3535,0
1418121,2010,3535,0
1428529,1993,956,0
1428529,1994,956,0
1429360,2008,3512,0
1429360,2009,3512,0
1437491,1993,828,0
1442236,2005,3097,0
1442236,2006,3097,0
1442236,2007,3097,0
1467858,2000,3033,0
1467858,2001,3033,0
1467858,2002,3033,0
1467858,2004,3033,0
1473061,1988,530,0
1473061,1989,530,0
1473061,1990,530,0
1494037,2000,2662,0
1494037,2001,2662,0
1494037,2002,2662,0
1494037,2003,2662,0
1494037,2004,2662,0
1494037,2005,2662,0
1497814,2012,3790,0
1499922,2013,3688,0
1499925,2013,3688,0
1501919,1999,2647,0
1501919,2000,2647,0
1501919,2001,2647,0
1502505,2011,3383,0
1513161,2012,3713,0
1513161,2013,3713,0
1517175,2012,3641,0
1521332,2000,2504,0
1521332,2001,2504,0
1521332,2002,2504,0
1521332,2003,2504,0
1521332,2004,2504,0
1526880,2009,3752,0
1526880,2010,3752,0
1603923,2007,3806,0
1603923,2008,3806,0
1603923,2009,3806,0
1603923,2010,3806,0
1603923,2011,3806,0
